GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,com.rental.property.filter,JwtAuthenticationFilter,7,84,2,8,2,21,2,5,0,2
demo,com.rental.property,RentHubApplication,8,139,2,2,3,34,3,4,1,4
demo,com.rental.property.enums,LeaseStatus,0,15,0,0,0,3,0,1,0,1
demo,com.rental.property.enums,MaintenanceRequestStatus,0,27,0,0,0,5,0,1,0,1
demo,com.rental.property.config,SecurityConfig,0,184,0,0,0,26,0,5,0,5
demo,com.rental.property.config,OpenApiConfig,0,30,0,0,0,9,0,2,0,2
demo,com.rental.property.service,PropertyServiceImpl,287,72,7,5,51,14,20,4,14,4
demo,com.rental.property.service,LeaseServiceImpl,60,238,1,3,8,62,8,6,7,5
demo,com.rental.property.service,PaymentServiceImpl,34,100,0,0,5,19,3,6,3,6
demo,com.rental.property.service,CustomUserDetailsService,0,55,0,0,0,11,0,4,0,4
demo,com.rental.property.service,UserServiceImpl,21,147,4,4,4,32,4,6,0,6
demo,com.rental.property.service,MaintenanceServiceImpl,0,137,0,0,0,28,0,7,0,7
demo,com.rental.property.service,RentalTransactionServiceImpl,59,22,2,0,12,4,4,2,3,2
demo,com.rental.property.util,PaymentMapper,1,80,1,1,0,18,1,3,0,3
demo,com.rental.property.util,MaintenanceMapper,0,120,3,7,0,31,3,6,0,4
demo,com.rental.property.util,UserUtil,0,51,0,0,0,17,0,3,0,3
demo,com.rental.property.util,JwtUtil,1,122,2,2,0,29,2,11,0,11
demo,com.rental.property.util,EntityMapper,0,114,0,0,0,30,0,7,0,7
demo,com.rental.property.util,PdfGeneratorUtil,92,390,3,13,20,81,5,8,2,3
demo,com.rental.property.util,RentalTransactionMapper,0,172,0,0,0,47,0,13,0,13
demo,com.rental.property.controller,LeaseController,53,78,0,4,13,18,2,7,2,5
demo,com.rental.property.controller,PaymentController,0,46,0,0,0,10,0,5,0,5
demo,com.rental.property.controller,RentalTransactionController,0,84,0,0,0,13,0,7,0,7
demo,com.rental.property.controller,PublicController,0,19,0,0,0,4,0,2,0,2
demo,com.rental.property.controller,MaintenanceController,0,25,0,0,0,4,0,4,0,4
demo,com.rental.property.controller,PropertyController,0,113,0,0,0,21,0,9,0,9
demo,com.rental.property.controller,UserController,0,36,0,0,0,7,0,3,0,3
demo,com.rental.property.controller,AuthController,0,80,0,0,0,17,0,2,0,2
demo,com.rental.property.entity,BaseAudit,0,3,0,0,0,1,0,1,0,1
demo,com.rental.property.entity,Role,3,14,0,0,1,4,1,4,1,4
demo,com.rental.property.dto,LeaseAgreementDTO,0,24,0,0,0,9,0,1,0,1
demo,com.rental.property.dto,CustomUserDetails,0,60,0,0,0,18,0,9,0,9
demo,com.rental.property.exception,GlobalRestAPIExceptionHandler,24,60,0,0,4,11,2,7,2,7
demo,com.rental.property.exception,PropertyNotFoundException,0,4,0,0,0,2,0,1,0,1
demo,com.rental.property.exception,UserAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
demo,com.rental.property.exception,PaymentNotFoundException,0,4,0,0,0,2,0,1,0,1
demo,com.rental.property.exception,ResourceNotFoundException,5,4,0,0,2,2,1,1,1,1
